"Id","Plate","Row","Column","Clog","Scan.rate","Status.sort","Status.sel","TOF","EXT","Green","Yellow","Red","PH.Ext","PW.Ext","PC.Ext","PH.Green","PW.Green","PCGreen","PH.Yellow","PW.Yellow","PCYellow","PH.Red","PW.Red","PCRed","Time.Stamp","X","filtering","fluo1","fluo2","log.fluo1","log.fluo2","pca.ind.1","pca.ind.2","clust"
"93",-1,0,0,"N",2500,0,2,879,646,110,172,28,56680,877,"n/a",13232,874,0,21145,877,"n/a",3029,695,"n/a",1807187,NA,"in",110,28,4.70048036579242,3.3322045101752,2.30478903132685,0.0826737407095041,2
"94",-1,0,0,"N",2500,0,40,548,524,5,7,10,52540,547,"n/a",872,547,0,1954,547,"n/a",3912,547,"n/a",1807328,NA,"in",5,10,1.6094379124341,2.30258509299405,-0.947924003755452,-0.103115128993632,1
"95",-1,0,0,"N",2500,0,40,891,794,7,8,9,52816,889,"n/a",700,874,0,1398,885,"n/a",2218,870,"n/a",1807593,NA,"in",7,9,1.94591014905531,2.19722457733622,-0.674221886331098,0.119149477262042,1
"96",-1,0,0,"N",2500,0,40,888,818,8,10,13,54384,886,"n/a",752,886,0,1946,882,"n/a",3354,875,"n/a",1807750,NA,"in",8,13,2.07944154167984,2.56494935746154,-0.414229914369273,-0.173179654454007,1
"97",-1,0,0,"N",2500,0,40,534,660,6,8,10,60660,533,"n/a",760,526,0,1493,533,"n/a",2768,533,"n/a",1807796,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"98",-1,0,0,"N",2500,0,1,158,113,0,0,0,35732,156,"n/a",56,103,0,76,149,"n/a",55,58,"n/a",1807906,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"99",-1,0,0,"N",2500,0,40,556,644,5,6,9,62856,555,"n/a",688,549,0,1288,555,"n/a",2035,548,"n/a",1807937,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"100",-1,0,0,"N",2500,0,40,912,724,6,7,7,42792,910,"n/a",532,896,0,825,908,"n/a",1343,907,"n/a",1808093,NA,"in",6,7,1.79175946922805,1.94591014905531,-0.910345973903256,0.295690660053991,1
"101",-1,0,0,"N",2500,0,1,157,82,0,0,0,25956,155,"n/a",108,147,0,92,153,"n/a",132,92,"n/a",1808218,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"102",-1,0,0,"N",2500,0,2,936,736,120,186,28,50540,934,"n/a",13768,934,0,20889,934,"n/a",2159,785,"n/a",1808343,NA,"in",120,28,4.78749174278205,3.3322045101752,2.38563869584045,0.114834453911616,2
"103",-1,0,0,"N",2500,0,40,560,681,5,7,9,63808,559,"n/a",688,553,0,1300,559,"n/a",2364,547,"n/a",1808421,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"104",-1,0,0,"N",2500,0,40,484,601,7,6,7,62860,483,"n/a",1036,476,0,922,483,"n/a",1405,473,"n/a",1808468,NA,"in",7,7,1.94591014905531,1.94591014905531,-0.767111477682563,0.352667069063423,1
"105",-1,0,0,"N",2500,0,40,748,626,5,6,9,54648,747,"n/a",544,747,0,1801,746,"n/a",3324,698,"n/a",1808546,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"106",-1,0,0,"N",2500,0,2,624,402,77,121,20,44864,623,"n/a",15796,623,0,24475,623,"n/a",2870,480,"n/a",1808578,NA,"in",77,20,4.34380542185368,2.99573227355399,1.84900683326979,0.263486266782393,2
